"","year","ccode","intlwar"
"1113",1982,811,1
"1114",1983,811,1
"1115",1984,811,1
"1116",1985,811,1
"1117",1986,811,1
"1118",1987,811,1
"1119",1988,811,1
"1120",1989,811,1
"1121",1990,811,1
"1122",1991,811,1
"1123",1992,811,1
"1124",1993,811,1
"1125",1994,811,1
"1126",1995,811,1
"1127",1996,811,1
"1128",1997,811,1
"1129",1998,811,1
"1130",1999,811,1
"1131",2000,811,1
"1132",2001,811,1
"1133",2002,811,1
"1134",2003,811,1
"1135",2004,811,1
"1136",2005,811,1
"1137",2006,811,1
"1138",2007,811,1
"1139",2008,811,1
"1140",2009,811,1
"1141",2010,811,1
"1142",2011,811,1
"1143",2012,811,1
"1144",2013,811,1
"1145",2014,811,1
"1146",2015,811,1
"1147",2016,811,1
"1189",1967,666,1
"1191",1968,666,1
"1192",1969,666,1
"1193",1970,666,1
"1194",1971,666,1
"1195",1972,666,1
"1196",1973,666,1
"1198",1969,92,1
"1199",1972,680,1
"1201",1973,680,1
"1202",1974,680,1
"1203",1975,680,1
"1204",1976,680,1
"1205",1977,680,1
"1206",1978,680,1
"1207",1979,680,1
"1208",1974,352,1
"1209",1972,630,1
"1210",1973,630,1
"1211",1974,630,1
"1215",1975,630,1
"1216",1976,630,1
"1217",1977,630,1
"1218",1978,630,1
"1219",1979,630,1
"1220",1980,630,1
"1221",1981,630,1
"1222",1982,630,1
"1223",1983,630,1
"1224",1984,630,1
"1225",1985,630,1
"1226",1986,630,1
"1227",1987,630,1
"1228",1988,630,1
"1229",1989,630,1
"1230",1990,630,1
"1231",1991,630,1
"1232",1992,630,1
"1233",1993,630,1
"1234",1994,630,1
"1235",1995,630,1
"1236",1996,630,1
"1237",1997,630,1
"1238",1998,630,1
"1239",1999,630,1
"1240",2000,630,1
"1241",2001,630,1
"1242",2002,630,1
"1243",2003,630,1
"1244",2004,630,1
"1245",2005,630,1
"1246",2006,630,1
"1247",2007,630,1
"1248",2008,630,1
"1249",2009,630,1
"1250",2010,630,1
"1251",2011,630,1
"1252",2012,630,1
"1253",2013,630,1
"1254",2014,630,1
"1255",2015,630,1
"1256",2016,630,1
"1355",1982,160,1
"1356",1983,483,1
"1357",1983,55,1
"1358",1985,439,1
"1359",1982,812,1
"1360",1983,812,1
"1361",1984,812,1
"1362",1985,812,1
"1363",1986,812,1
"1364",1987,812,1
"1365",1988,812,1
"1366",1989,812,1
"1367",1990,812,1
"1368",1991,812,1
"1369",1992,812,1
"1370",1993,812,1
"1371",1994,812,1
"1372",1995,812,1
"1373",1996,812,1
"1374",1997,812,1
"1375",1998,812,1
"1376",1999,812,1
"1377",2000,812,1
"1378",2001,812,1
"1379",2002,812,1
"1380",2003,812,1
"1381",2004,812,1
"1382",2005,812,1
"1383",2006,812,1
"1384",2007,812,1
"1385",2008,812,1
"1386",2009,812,1
"1387",2010,812,1
"1388",2011,812,1
"1389",2012,812,1
"1390",2013,812,1
"1391",2014,812,1
"1392",2015,812,1
"1393",2016,812,1
"1401",1987,483,1
"1402",1989,95,1
"1432",1995,130,1
"1433",1994,471,1
"1434",1995,471,1
"1435",1996,471,1
"1436",1998,531,1
"1437",1999,531,1
"1438",2000,531,1
"1439",2001,531,1
"1440",2002,531,1
"1441",2003,531,1
"1442",2004,531,1
"1443",2005,531,1
"1444",2006,531,1
"1445",2007,531,1
"1446",2008,531,1
"1447",2009,531,1
"1448",2010,531,1
"1449",2011,531,1
"1450",2012,531,1
"1451",2013,531,1
"1452",2014,531,1
"1453",2015,531,1
"1454",2016,531,1
"1458",2003,900,1
"1459",2003,200,1
"1460",2003,2,1
"1461",1978,510,1
"1462",1979,700,1
"1463",2008,522,1
"1526",2012,626,1
"1527",2001,700,1
"1528",1946,800,1
"1529",1946,200,1
"1530",1948,770,1
"1532",1949,770,1
"1533",1950,770,1
"1534",1951,770,1
"1535",1952,770,1
"1536",1953,770,1
"1537",1954,770,1
"1538",1955,770,1
"1539",1956,770,1
"1540",1957,770,1
"1541",1958,770,1
"1542",1959,770,1
"1543",1960,770,1
"1544",1961,770,1
"1545",1962,770,1
"1546",1963,770,1
"1547",1964,770,1
"1548",1965,770,1
"1549",1966,770,1
"1550",1967,770,1
"1551",1968,770,1
"1552",1969,770,1
"1553",1970,770,1
"1554",1971,770,1
"1555",1972,770,1
"1556",1973,770,1
"1557",1974,770,1
"1558",1975,770,1
"1559",1976,770,1
"1560",1977,770,1
"1561",1978,770,1
"1562",1979,770,1
"1563",1980,770,1
"1564",1981,770,1
"1565",1982,770,1
"1566",1983,770,1
"1567",1984,770,1
"1568",1985,770,1
"1569",1986,770,1
"1570",1987,770,1
"1571",1988,770,1
"1572",1989,770,1
"1573",1990,770,1
"1574",1991,770,1
"1575",1992,770,1
"1576",1993,770,1
"1577",1994,770,1
"1578",1995,770,1
"1579",1996,770,1
"1580",1997,770,1
"1581",1998,770,1
"1582",1999,770,1
"1583",2000,770,1
"1584",2001,770,1
"1585",2002,770,1
"1586",2003,770,1
"1587",2004,770,1
"1588",2005,770,1
"1589",2006,770,1
"1590",2007,770,1
"1591",2008,770,1
"1592",2009,770,1
"1593",2010,770,1
"1594",2011,770,1
"1595",2012,770,1
"1596",2013,770,1
"1597",2014,770,1
"1598",2015,770,1
"1599",2016,770,1
"1820",1948,666,1
"1821",1949,666,1
"1822",1950,666,1
"1823",1951,666,1
"1824",1952,666,1
"1825",1953,666,1
"1826",1954,666,1
"1827",1955,666,1
"1829",1957,666,1
"1830",1958,666,1
"1831",1959,666,1
"1832",1960,666,1
"1833",1961,666,1
"1834",1962,666,1
"1835",1963,666,1
"1836",1964,666,1
"1837",1965,666,1
"1838",1966,666,1
"1846",1974,666,1
"1847",1975,666,1
"1848",1976,666,1
"1849",1977,666,1
"1850",1978,666,1
"1851",1979,666,1
